int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;unid.cons;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;n.quadro;2.;NA;2;0;17;i;FALSE
18;relacaochefe;1.;NA;1;0;18;i;FALSE
19;cond.pres;1.;NA;1;0;19;i;FALSE
20;sexo;1.;NA;1;0;20;i;FALSE
21;freqescola;1.;NA;1;0;21;i;FALSE
22;nivel.inst;2.;NA;2;0;23;i;FALSE
24;orc.despesa;1.;NA;1;0;24;i;FALSE
25;orc.recebido;1.;NA;1;0;25;i;FALSE
26;idade;3.;NA;3;0;28;i;FALSE
29;tem.cart.credito;1.;NA;1;0;29;i;FALSE
30;quant.cart.cred;2.;NA;2;0;31;i;FALSE
32;tem.cheq.esp;1.;NA;1;0;32;i;FALSE
33;quant.cheq.esp;2.;NA;2;0;34;i;FALSE
