int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;unid.cons;1.;NA;1;0;13;i;FALSE
14;cod_desp;4.;NA;4;0;17;i;FALSE
18;dv_desp;1.;NA;1;0;18;i;FALSE
19;cod_critica;2.;NA;2;0;20;i;FALSE
21;cod_imput;2.;NA;2;0;22;i;FALSE
23;esp_empreg_dom;1.;NA;1;0;23;i;FALSE
24;valor_item;10.2;NA;10;2;33;d;FALSE
34;valor_INSS;10.2;NA;10;2;43;d;FALSE
44;mês_do_gasto;2.;NA;2;0;45;i;FALSE
46;n_meses;1.;NA;1;0;46;i;FALSE
47;deflator;4.2;NA;4;2;50;d;FALSE
51;fat_anualiz;3.;NA;3;0;53;i;FALSE
54;valor_defl;10.2;NA;10;2;63;d;FALSE
64;valor1_defl;10.2;NA;10;2;73;d;FALSE
74;cod_crit_INSS;2.;NA;2;0;75;i;FALSE
76;cod_imput_INSS;2.;NA;2;0;77;i;FALSE
78;valor_anual;10.2;NA;10;2;87;d;FALSE
88;valor_expand_1;15.2;NA;15;2;102;d;FALSE
103;valor_expand_2;15.2;NA;15;2;117;d;FALSE
118;valor_de_anual_do_INSS;10.2;NA;10;2;127;d;FALSE
128;valor_expand_1_INSS;15.2;NA;15;2;142;d;FALSE
143;valor_expand_2_INSS;6.2;NA;6;2;148;d;FALSE
