int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;uf;2.;;2;0;4;i;FALSE
5;seq;3.;;3;0;7;i;FALSE
8;dv;1.;;1;0;8;i;FALSE
3;controle;6.;;6;0;8;i;FALSE
9;domcl;2.;;2;0;10;i;FALSE
11;uc;1.;;1;0;11;i;FALSE
12;estrato;2.;;2;0;13;i;FALSE
14;fator_set;11.5;;11;5;24;d;FALSE
25;fator;11.5;;11;5;35;d;FALSE
36;quadro;2.;;2;0;37;i;FALSE
38;item;5.;;5;0;42;i;FALSE
43;valor;11.2;;11;2;53;d;FALSE
54;valorinss;11.2;;11;2;64;d;FALSE
65;especie;1.;;1;0;65;i;FALSE
66;n_meses;2.;;2;0;67;i;FALSE
68;obtencao;1.;;1;0;68;i;FALSE
69;fanual;2.;;2;0;70;i;FALSE
71;val_def_anual;16.2;;16;2;86;d;FALSE
87;val_def_anual_inss;16.2;;16;2;102;d;FALSE
103;renda;12.4;;12;4;114;d;FALSE
115;cod_imput;1.;;1;0;115;i;FALSE
116;cod_imput_inss;1.;;1;0;116;i;FALSE
117;deflator;"5.2;";;5;2;121;d;FALSE
